Tara,Cluster,Cont_Curent,Datorie_Publica,Inflatia
Belgium,1,0.19,104.12,4.05
France,1,-1.04,116.27,4.88
Greece,1,-7.21,180.34,3.46
Italy,1,0.22,147.47,5.62
Portugal,1,0.55,103.77,4.31
Spain,1,2.73,111.21,3.53
Ireland,2,7.03,44.64,6.3
Netherlands,2,9.42,50.84,3.84
Luxembourg,2,6.8,30.44,3.74
Germany,2,5.51,63.33,5.95
Finland,3,-0.76,80.12,6.25
Estonia,3,-1.65,28.85,9.16
Lithuania,3,1.1,38.56,9.12
Latvia,3,-3.82,54.23,8.94
Slovak Republic,3,-3.02,63.59,10.53
Austria,3,1.6,81.67,7.81
Slovenia,3,4.75,70.38,7.45
