Siruta,Localitate,RataMortalitateInfantila
159614,Municipiul Tulcea,3000.0
161035,Niculitel,3000.0
159650,Oras Babadag,1500.0
158608,Secas,250.0
141884,Lozna,250.0
120511,Bereni,250.0
140477,Carastelec,250.0
168755,Boisoara,200.0
113607,Svinita,200.0
11058,Halmagiu,200.0
15983,Cotmeana,166.6667
36649,Cordareni,166.6667
77601,Suhurlui,166.6667
100709,Ciocarlia,166.6667
6468,Posaga,166.6667
113518,Stangaceaua,166.6667
153972,Saceni,142.8571
85243,Ocland,142.8571
113153,Poroina Mare,142.8571
61167,Cerchezu,133.3333
71518,Caraula,129.0323
42771,Surdila-Greci,125.0
107234,Bicaz,125.0
73503,Orodel,125.0
26361,Prajesti,125.0
109425,Vima Mica,125.0
160528,Horia,125.0
134899,Provita De Sus,125.0
113929,Vladaia,125.0
76932,Oancea,125.0
172509,Racovita,117.6471
18581,Sapata,111.1111
103568,Gurbanesti,111.1111
51332,Bautar,111.1111
31057,Sambata,111.1111
141786,Letca,111.1111
152797,Dracsenei,111.1111
177762,Soveja,111.1111
127750,Obarsia,111.1111
28246,Cefa,107.1429
110875,Brosteni,105.2632
98051,Miroslovesti,103.4483
32955,Ciceu-Giurgesti,100.0
165069,Oltenesti,100.0
12912,Dorobanti,100.0
52115,Cornea,90.9091
151996,Balaci,90.9091
150702,Ulma,90.9091
53639,Ramna,90.9091
29001,Curtuiseni,88.8889
105384,Soldanu,85.7143
179677,Camin,83.3333
120076,Vargata,83.3333
56773,Catina,83.3333
156277,Cenei,83.3333
58794,Palatca,83.3333
10701,Dieci,83.3333
144535,Cartisoara,83.3333
128560,Rotunda,83.3333
77028,Priponesti,83.3333
130286,Balteni,83.3333
62823,Saraiu,83.3333
137899,Homoroade,83.3333
140672,Creaca,80.0
59327,Savadisla,80.0
100362,Ciohorani,80.0
94688,Valea Ciorii,76.9231
70520,Afumati,76.9231
113493,Salcia,76.9231
59416,Sic,76.9231
147205,Breaza,76.9231
22488,Filipeni,76.9231
72882,Izvoare,76.9231
30844,Rosia,76.9231
152500,Cervenia,76.9231
86438,Madaras,76.9231
72819,Grecesti,76.9231
94580,Stefan Voda,76.9231
97394,Grozesti,76.9231
33845,Micestii De Campie,76.9231
111550,Darvari,74.0741
160172,Chilia Veche,71.4286
159482,Valcani,71.4286
160225,Ciucurova,71.4286
152993,Frumoasa,71.4286
41943,Soars,71.4286
46554,Cozieni,71.4286
167286,Dodesti,71.4286
138618,Pomi,71.4286
19141,Suici,71.4286
88788,Buces,71.4286
44177,Tichilesti,71.4286
171931,Otesani,71.4286
161106,Ostrov,71.4286
82314,Stoina,71.4286
71457,Calopar,69.7674
147358,Oras Brosteni,68.9655
31422,Soimi,66.6667
58623,Mociu,66.6667
53755,Sacu,66.6667
107154,Baiut,66.6667
152582,Cosmesti,66.6667
75686,Baneasa,66.6667
104341,Nicolae Balcescu,66.6667
63286,Costinesti,66.6667
63777,Aita Mare,66.6667
94731,Valcelele,66.6667
166672,Vetrisoaia,64.5161
126978,Falcoiu,64.5161
177352,Pufesti,63.8298
170220,Golesti,62.5
146021,Boita,62.5
16739,Izvoru,62.5
59130,Recea-Cristur,62.5
