Judet,SporNatural
ab,-9.066134615384616
ag,-6.793250980392157
ar,-7.795015384615385
b,-0.0029
bc,-5.5931462365591385
bh,-4.4485158415841575
bn,-1.715875806451613
br,-11.084793181818183
bt,-11.570128205128206
bv,-8.506929310344827
bz,-17.087631034482758
cj,-16.143364197530868
cl,-5.191377777777778
cs,-13.719236363636364
ct,-0.9134071428571436
cv,-0.6900244444444453
db,-5.2893584269662925
dj,-15.131607207207209
gj,-7.860367142857142
gl,-5.506446153846154
gr,-7.538827777777778
hd,-17.996453623188405
hr,-4.571159701492538
if,-2.0970699999999995
il,1.2030593749999983
is,-3.0839428571428567
mh,-14.503269696969697
mm,-4.853472368421053
ms,-6.224231372549021
nt,-4.059315662650603
ot,-17.017086607142854
ph,-9.577725
sb,3.5727468750000004
sj,-5.032315
sm,-0.7894190476190475
sv,-1.1757561403508772
tl,-4.303772549019609
tm,-6.842374747474747
tr,-15.987572164948455
vl,-5.340065168539326
vn,-23.896912328767105
vs,-5.436905813953487
