Judet,Casatorii,Decedati,DecedatiSub1An,Divorturi,NascutiMorti,NascutiVii
ab,Municipiul Alba Iulia,Municipiul Alba Iulia,Municipiul Alba Iulia,Municipiul Alba Iulia,"Municipiul Alba Iulia,Municipiul Blaj,Municipiul Sebes",Municipiul Alba Iulia
ag,Municipiul Bacau,Municipiul Bacau,Municipiul Bacau,Municipiul Bacau,Municipiul Campulung,Municipiul Bacau
ar,Municipiul Arad,Municipiul Arad,Municipiul Pitesti,Municipiul Pitesti,Municipiul Arad,Municipiul Pitesti
b,Jilava,Jilava,Jilava,Jilava,Jilava,Jilava
bc,Municipiul Oradea,Municipiul Oradea,Municipiul Oradea,Municipiul Oradea,Municipiul Oradea,Municipiul Oradea
bh,Municipiul Bistrita,Municipiul Bistrita,Curtuiseni,Municipiul Bistrita,Municipiul Bistrita,Municipiul Bistrita
bn,Municipiul Botosani,Municipiul Botosani,Municipiul Botosani,Municipiul Botosani,Municipiul Botosani,Municipiul Botosani
br,Municipiul Buzau,Municipiul Buzau,Municipiul Buzau,Municipiul Buzau,Municipiul Buzau,Municipiul Buzau
bt,Municipiul Brasov,Municipiul Brasov,Municipiul Brasov,Municipiul Brasov,Municipiul Brasov,Municipiul Brasov
bv,Municipiul Braila,Municipiul Braila,Municipiul Sacele,Municipiul Braila,Municipiul Braila,Municipiul Braila
bz,Municipiul Resita,Municipiul Resita,Municipiul Resita,Municipiul Resita,Municipiul Resita,Municipiul Resita
cj,Municipiul Constanta,Municipiul Constanta,Municipiul Constanta,Municipiul Constanta,Municipiul Constanta,Municipiul Constanta
cl,Oras Tandarei,Oras Tandarei,Stefanestii De Jos,Oras Tandarei,"Oras Tandarei,Ciorogarla",Oras Tandarei
cs,Municipiul Cluj-Napoca,Municipiul Cluj-Napoca,Municipiul Cluj-Napoca,Municipiul Cluj-Napoca,Municipiul Cluj-Napoca,Municipiul Cluj-Napoca
ct,Municipiul Sfantu Gheorghe,Municipiul Sfantu Gheorghe,Municipiul Medgidia,Municipiul Medgidia,Oras Navodari,Municipiul Sfantu Gheorghe
cv,Municipiul Targoviste,Municipiul Targoviste,Municipiul Targoviste,Municipiul Targoviste,"Oras Covasna,Barcani,Bradut,Valcele,Municipiul Targoviste",Municipiul Targoviste
db,Municipiul Craiova,Municipiul Craiova,Municipiul Craiova,Municipiul Craiova,"Oras Titu,Potlogi,Municipiul Craiova",Municipiul Craiova
dj,Municipiul Galati,Municipiul Galati,Municipiul Galati,Municipiul Galati,Municipiul Galati,Municipiul Galati
gj,Municipiul Odorheiu Secuiesc,Municipiul Odorheiu Secuiesc,"Oras Novaci,Borascu,Plopsoru",Oras Rovinari,"Danesti,Farcasesti,Musetesti,Tantareni",Municipiul Odorheiu Secuiesc
gl,Municipiul Targu Jiu,Municipiul Targu Jiu,Municipiul Targu Jiu,Municipiul Targu Jiu,Municipiul Targu Jiu,Municipiul Targu Jiu
gr,Municipiul Baia Mare,Municipiul Baia Mare,Municipiul Baia Mare,Municipiul Baia Mare,Municipiul Baia Mare,Municipiul Baia Mare
hd,Municipiul Hunedoara,Municipiul Hunedoara,Municipiul Fetesti,Municipiul Calarasi,Municipiul Fetesti,Municipiul Calarasi
hr,Municipiul Deva,Municipiul Deva,Municipiul Deva,Municipiul Deva,"Municipiul Miercurea Ciuc,Municipiul Gheorgheni",Municipiul Deva
if,Oras Popesti Leordeni,Oras Voluntari,"Oras Pantelimon,Oras Voluntari",Oras Popesti Leordeni,Oras Popesti Leordeni,Oras Popesti Leordeni
il,Municipiul Iasi,Municipiul Iasi,Municipiul Iasi,Municipiul Iasi,Municipiul Iasi,Municipiul Iasi
is,Municipiul Giurgiu,Municipiul Giurgiu,Lungani,Municipiul Giurgiu,"Oras Harlau,Mogosesti,Valea Seaca",Municipiul Giurgiu
mh,Municipiul Targu Mures,Municipiul Targu Mures,Municipiul Targu Mures,Municipiul Targu Mures,Municipiul Targu Mures,Municipiul Targu Mures
mm,Municipiul Drobeta-Turnu Severin,Municipiul Drobeta-Turnu Severin,Municipiul Sighetu Marmatiei,Municipiul Drobeta-Turnu Severin,Municipiul Drobeta-Turnu Severin,Municipiul Drobeta-Turnu Severin
ms,Municipiul Piatra-Neamt,Municipiul Piatra-Neamt,Municipiul Piatra-Neamt,Municipiul Piatra-Neamt,"Vatava,Municipiul Piatra-Neamt",Municipiul Piatra-Neamt
nt,Municipiul Slatina,Municipiul Slatina,Municipiul Slatina,Municipiul Slatina,"Dulcesti,Petricani,Boghicea,Municipiul Slatina",Municipiul Slatina
ot,Municipiul Ploiesti,Municipiul Ploiesti,Municipiul Ploiesti,Municipiul Ploiesti,Municipiul Ploiesti,Municipiul Ploiesti
ph,Municipiul Satu Mare,Municipiul Satu Mare,Municipiul Satu Mare,Municipiul Satu Mare,Municipiul Satu Mare,Municipiul Satu Mare
sb,Municipiul Suceava,Municipiul Suceava,Municipiul Suceava,Municipiul Suceava,Municipiul Suceava,Municipiul Suceava
sj,Municipiul Sibiu,Municipiul Sibiu,Municipiul Sibiu,Municipiul Sibiu,Municipiul Sibiu,Municipiul Sibiu
sm,Municipiul Zalau,Municipiul Zalau,Municipiul Zalau,Municipiul Zalau,"Paulesti,Supur,Oras Simleu Silvaniei",Municipiul Zalau
sv,Municipiul Alexandria,Municipiul Alexandria,Municipiul Falticeni,Municipiul Alexandria,"Municipiul Radauti,Poiana Stampei,Putna,Vatra Moldovitei,Municipiul Alexandria",Municipiul Alexandria
tl,Municipiul Vaslui,Municipiul Barlad,Municipiul Barlad,Municipiul Barlad,Municipiul Vaslui,Municipiul Vaslui
tm,Municipiul Tulcea,Municipiul Tulcea,Municipiul Tulcea,Municipiul Tulcea,"Oras Jimbolia,Municipiul Tulcea",Oras Sannicolau Mare
tr,Municipiul Timisoara,Municipiul Timisoara,Municipiul Timisoara,Municipiul Timisoara,Municipiul Timisoara,Municipiul Timisoara
vl,Municipiul Focsani,Municipiul Focsani,Municipiul Focsani,Municipiul Focsani,"Oras Horezu,Oras Ocnele Mari,Alunu,Amarasti,Oras Babeni,Oras Balcesti,Barbatesti,Oras Berbesti,Berislavesti,Boisoara,Budesti,Bujoreni,Bunesti,Cernisoara,Caineni,Copaceni,Costesti,Creteni,Daesti,Danicei,Dragoesti,Fauresti,Fartatesti,Francesti,Galicea,Ghioroiu,Glavile,Golesti,Gradistea,Gusoeni,Ionesti,Lalosu,Ladesti,Lapusata,Livezi,Lungesti,Malaia,Mateesti,Maciuca,Madulari,Maldaresti,Mihaesti,Milcoiu,Muereasca,Nicolae Balcescu,Olanu,Orlesti,Otesani,Pausesti,Pausesti-Maglasi,Perisani,Pesceana,Pietrari,Popesti,Prundeni,Racovita,Roesti,Rosiile,Runcu,Salatrucel,Scundu,Sinesti,Slatioara,Stanesti,Stoenesti,Stoilesti,Stroesti,Sutesti,Sirineasa,Stefanesti,Susani,Tetoiu,Tomsani,Vaideeni,Valea Mare,Vladesti,Voicesti,Voineasa,Zatreni,Titesti,Diculesti,Lacusteni,Mitrofani,Municipiul Focsani,Campineanca,Golesti,Municipiul Adjud,Oras Marasesti,Oras Odobesti",Municipiul Focsani
vn,Municipiul Bucuresti,Municipiul Bucuresti,Municipiul Bucuresti,Municipiul Bucuresti,Municipiul Bucuresti,Municipiul Bucuresti
vs,Municipiul Ramnicu Valcea,Municipiul Ramnicu Valcea,Municipiul Ramnicu Valcea,Municipiul Ramnicu Valcea,Bacesti,Municipiul Ramnicu Valcea
